ANTsNeighborhoodCorrelation,Correlation,MeanSquares,MattesMutualInformation,Demons,JointHistogramMutualInformation,Subject,method,init,dofs
,,,,,,sub-037S6216,vvregister,coreg,9dof
-1.789981245994568,-0.3339641988277435,6408717.5,-0.303181380033493,12475684.0,-1.789981245994568,sub-037S6216,vvregister,fsl,12dof
-1.0236737728118896,-0.5093250870704651,14532511.0,-0.4921992123126983,13481075.0,-1.0236737728118896,sub-127S6433,bbregister,spm,6dof
-0.9513799548149108,-0.4035145342350006,14532511.0,-0.355058491230011,24116944.0,-0.9513799548149108,sub-127S6433,bbregister,fsl,9dof
-1.188096523284912,-0.6845174431800842,14532511.0,-0.7228724956512451,24116944.0,-1.188096523284912,sub-127S6433,bbregister,coreg,6dof
-1.0857621431350708,-0.56973797082901,14532511.0,-0.5548096895217896,13481075.0,-1.0857621431350708,sub-127S6433,bbregister,rr,9dof
-1.0943455696105957,-0.5803543329238892,14532511.0,-0.5714882016181946,24116942.0,-1.0943455696105957,sub-127S6433,bbregister,rr,6dof
-0.9808726906776428,-0.4121777713298797,14532511.0,-0.3658733069896698,13481075.0,-0.9808726906776428,sub-127S6433,bbregister,fsl,6dof
-1.00200617313385,-0.5470714569091797,14532511.0,-0.5354127883911133,13481075.0,-1.00200617313385,sub-127S6433,bbregister,spm,9dof
-1.0595464706420898,-0.5745369791984558,14532511.0,-0.5538454651832581,13481075.0,-1.0595464706420898,sub-127S6433,bbregister,rr,12dof
-1.0000823736190796,-0.5374959707260132,14532511.0,-0.5200584530830383,24116944.0,-1.0000823736190796,sub-127S6433,bbregister,spm,12dof
-1.641937494277954,-0.345201313495636,14532512.0,-0.2743510007858276,13481077.0,-1.641937494277954,sub-127S6433,bbregister,coreg,12dof
-1.5497052669525146,-0.3438591361045837,14532512.0,-0.2748351395130157,13481076.0,-1.5497052669525146,sub-127S6433,bbregister,coreg,9dof
-0.9488760828971864,-0.4059971570968628,14532511.0,-0.3544078767299652,15063708.0,-0.9488760828971864,sub-127S6433,bbregister,fsl,12dof
-1.2002842426300049,-0.6954678297042847,14532511.0,-0.749305784702301,24116942.0,-1.2002842426300049,sub-127S6433,mri-coreg,NA,9dof
-1.202653408050537,-0.6927997469902039,14532511.0,-0.7442382574081421,13481075.0,-1.202653408050537,sub-127S6433,mri-coreg,NA,6dof
-1.2193326950073242,-0.6977218389511108,14532511.0,-0.7498880624771118,15063708.0,-1.2193326950073242,sub-127S6433,mri-coreg,NA,12dof
-1.207779884338379,-0.6880195736885071,14532511.0,-0.7333369851112366,13481075.0,-1.207779884338379,sub-127S6433,vvregister,rr,6dof
-1.0807206630706787,-0.5735093951225281,14532511.0,-0.5787822008132935,24116944.0,-1.0807206630706787,sub-127S6433,vvregister,spm,6dof
-1.2137912511825562,-0.6949365735054016,14532511.0,-0.7366979718208313,13481075.0,-1.2137912511825562,sub-127S6433,vvregister,rr,9dof
-0.9840697646141052,-0.408387541770935,14532511.0,-0.3618584871292114,15063708.0,-0.9840697646141052,sub-127S6433,vvregister,fsl,6dof
-0.946206033229828,-0.5289455056190491,14532511.0,-0.5259681940078735,24116942.0,-0.946206033229828,sub-127S6433,vvregister,spm,12dof
-0.9363698959350586,-0.521828830242157,14532511.0,-0.5266363024711609,13481075.0,-0.9363698959350586,sub-127S6433,vvregister,spm,9dof
-1.2077640295028689,-0.6880121231079102,14532511.0,-0.7333472371101379,24116942.0,-1.2077640295028689,sub-127S6433,vvregister,coreg,6dof
-1.0116326808929443,-0.4195282459259033,14532512.0,-0.3802436292171478,24116944.0,-1.0116326808929443,sub-127S6433,vvregister,fsl,9dof
-1.2231518030166626,-0.6933962106704712,14532511.0,-0.7316232323646545,13481075.0,-1.2231518030166626,sub-127S6433,vvregister,rr,12dof
-1.6349551677703855,-0.3752073943614959,14532512.0,-0.2955257892608642,24116946.0,-1.6349551677703855,sub-127S6433,vvregister,coreg,12dof
-1.5080431699752808,-0.3498098850250244,14532512.0,-0.2850851118564605,24116944.0,-1.5080431699752808,sub-127S6433,vvregister,coreg,9dof
-0.9841423630714417,-0.4199534058570862,14532511.0,-0.3811387121677398,24116946.0,-0.9841423630714417,sub-127S6433,vvregister,fsl,12dof
-3.336505174636841,-0.3960086405277252,8645807.0,-0.3315845727920532,19714012.0,-3.336505174636841,sub-116S6543,bbregister,spm,6dof
-3.281778573989868,-0.4246823787689209,8475639.0,-0.3543576002120971,12792922.0,-3.281778573989868,sub-116S6543,bbregister,fsl,9dof
-3.5159950256347656,-0.6879398822784424,7146514.0,-0.6668192744255066,17822206.0,-3.5159950256347656,sub-116S6543,bbregister,coreg,6dof
-3.451157808303833,-0.654402494430542,7648933.0,-0.5812392234802246,16092558.0,-3.451157808303833,sub-116S6543,bbregister,rr,9dof
-3.739514827728272,-0.6898390650749207,7139928.5,-0.6635696291923523,17486310.0,-3.739514827728272,sub-116S6543,bbregister,rr,6dof
-3.605190753936768,-0.4152564406394958,8313555.5,-0.3377255499362945,19334472.0,-3.605190753936768,sub-116S6543,bbregister,fsl,6dof
-3.227170944213867,-0.3931118547916412,8653807.0,-0.3311792314052582,19420652.0,-3.227170944213867,sub-116S6543,bbregister,spm,9dof
-3.791907787322998,-0.6206833124160767,7846215.5,-0.5416777729988098,16646640.0,-3.791907787322998,sub-116S6543,bbregister,rr,12dof
-3.464108467102051,-0.3691126704216003,8773699.0,-0.3061448931694031,18454812.0,-3.464108467102051,sub-116S6543,bbregister,spm,12dof
-3.7735962867736816,-0.3770011365413666,10688723.0,-0.2714905440807342,15063709.0,-3.7735962867736816,sub-116S6543,bbregister,coreg,12dof
-4.132753372192383,-0.3769273161888122,10402140.0,-0.271018236875534,22788188.0,-4.132753372192383,sub-116S6543,bbregister,coreg,9dof
-3.531592607498169,-0.4241742193698883,8486593.0,-0.3499681353569031,18636848.0,-3.531592607498169,sub-116S6543,bbregister,fsl,12dof
-3.3031716346740723,-0.6996651887893677,7208348.0,-0.67364901304245,16824280.0,-3.3031716346740723,sub-116S6543,mri-coreg,NA,9dof
-3.4610869884490967,-0.6868878602981567,7152981.0,-0.6662725210189819,17482820.0,-3.4610869884490967,sub-116S6543,mri-coreg,NA,6dof
-3.288127183914185,-0.7021642923355103,7187734.5,-0.6794235110282898,17156634.0,-3.288127183914185,sub-116S6543,mri-coreg,NA,12dof
-3.55399751663208,-0.63307785987854,7313678.5,-0.5996690988540649,12705779.0,-3.55399751663208,sub-116S6543,vvregister,rr,6dof
-3.355676651000977,-0.4221683740615845,8466522.0,-0.3591561913490295,19789334.0,-3.355676651000977,sub-116S6543,vvregister,spm,6dof
-3.83194899559021,-0.7057356834411621,7252529.0,-0.657686710357666,17127518.0,-3.83194899559021,sub-116S6543,vvregister,rr,9dof
-3.467803716659546,-0.4459776580333709,8222388.0,-0.3804606795310974,18906162.0,-3.467803716659546,sub-116S6543,vvregister,fsl,6dof
-3.5529322624206543,-0.4248110353946686,8513496.0,-0.3603135347366333,19734556.0,-3.5529322624206543,sub-116S6543,vvregister,spm,12dof
-3.682374954223633,-0.4255416691303253,8510494.0,-0.3605100512504577,19719988.0,-3.682374954223633,sub-116S6543,vvregister,spm,9dof
-3.458552122116089,-0.6921674609184265,7136962.0,-0.670318603515625,17526748.0,-3.458552122116089,sub-116S6543,vvregister,coreg,6dof
-3.347928047180176,-0.4420306384563446,8147730.0,-0.3778666853904724,19318640.0,-3.347928047180176,sub-116S6543,vvregister,fsl,9dof
-3.880794525146485,-0.7052626013755798,7259821.5,-0.6551333069801331,7201254.0,-3.880794525146485,sub-116S6543,vvregister,rr,12dof
-4.589810848236084,-0.2987278997898102,11647729.0,-0.2126524001359939,24116934.0,-4.589810848236084,sub-116S6543,vvregister,coreg,12dof
-3.7460319995880127,-0.3941399455070495,10552925.0,-0.2829583883285522,24116946.0,-3.7460319995880127,sub-116S6543,vvregister,coreg,9dof
-3.313663959503174,-0.4422124624252319,8137044.5,-0.3786016702651977,19424708.0,-3.313663959503174,sub-116S6543,vvregister,fsl,12dof
-1.3332537412643433,-0.1685983538627624,9025579.0,-0.173850417137146,7418506.5,-1.3332537412643433,sub-135S6545,bbregister,spm,6dof
-1.7979087829589844,-0.3104963600635528,7976637.5,-0.2712327241897583,9261922.0,-1.7979087829589844,sub-135S6545,bbregister,fsl,9dof
-1.375317096710205,-0.4824544489383697,4817974.0,-0.5470433831214905,5221076.0,-1.375317096710205,sub-135S6545,bbregister,coreg,6dof
-2.115002155303955,-0.1180272176861763,11196237.0,-0.1649388372898101,10020607.0,-2.115002155303955,sub-135S6545,bbregister,rr,9dof
-1.3143517971038818,-0.2729005217552185,7644620.0,-0.345561683177948,5988106.0,-1.3143517971038818,sub-135S6545,bbregister,rr,6dof
-2.0975887775421143,-0.4240697920322418,5369277.5,-0.41864213347435,7232228.5,-2.0975887775421143,sub-135S6545,bbregister,fsl,6dof
-1.460244059562683,-0.1569027453660965,9411184.0,-0.1700320243835449,11246448.0,-1.460244059562683,sub-135S6545,bbregister,spm,9dof
-1.9604554176330569,-0.1329817771911621,10853074.0,-0.1813625544309616,23442246.0,-1.9604554176330569,sub-135S6545,bbregister,rr,12dof
-1.4245716333389282,-0.1799283176660537,9148735.0,-0.1988493502140045,9469809.0,-1.4245716333389282,sub-135S6545,bbregister,spm,12dof
-4.234488010406494,-0.2127713859081268,10139322.0,-0.1843609809875488,10830221.0,-4.234488010406494,sub-135S6545,bbregister,coreg,12dof
-4.017682075500488,-0.1307166516780853,11791982.0,-0.1050725132226944,13504080.0,-4.017682075500488,sub-135S6545,bbregister,coreg,9dof
-1.6400612592697144,-0.310819536447525,8059038.0,-0.2884076833724975,8991693.0,-1.6400612592697144,sub-135S6545,bbregister,fsl,12dof
-1.4329454898834229,-0.5595775246620178,4217241.0,-0.7250655293464661,6715407.0,-1.4329454898834229,sub-135S6545,mri-coreg,NA,9dof
-1.322744846343994,-0.5602615475654602,4227967.0,-0.7248961925506592,inf,-1.322744846343994,sub-135S6545,mri-coreg,NA,6dof
-1.4437885284423828,-0.5594832301139832,4217613.5,-0.7256588935852051,5264258.0,-1.4437885284423828,sub-135S6545,mri-coreg,NA,12dof
-1.319567322731018,-0.5637849569320679,4203622.0,-0.7228752970695496,5224055.5,-1.319567322731018,sub-135S6545,vvregister,rr,6dof
-1.265421748161316,-0.2984781563282013,7129078.0,-0.2949148118495941,5982147.5,-1.265421748161316,sub-135S6545,vvregister,spm,6dof
-1.4822005033493042,-0.5650192499160767,4446198.0,-0.6533300280570984,7262315.5,-1.4822005033493042,sub-135S6545,vvregister,rr,9dof
-2.5394866466522217,-0.4073125422000885,5445398.0,-0.3850768208503723,8122036.0,-2.5394866466522217,sub-135S6545,vvregister,fsl,6dof
-1.4182509183883667,-0.2830621600151062,7709040.5,-0.2681129574775696,7319657.5,-1.4182509183883667,sub-135S6545,vvregister,spm,12dof
-1.418395757675171,-0.2746652066707611,7784252.0,-0.2555404305458069,6886834.0,-1.418395757675171,sub-135S6545,vvregister,spm,9dof
-1.2945364713668823,-0.562401533126831,4212484.5,-0.7253113985061646,5176027.0,-1.2945364713668823,sub-135S6545,vvregister,coreg,6dof
-3.671116590499878,-0.2609519958496094,9449167.0,-0.2298394590616226,12348415.0,-3.671116590499878,sub-135S6545,vvregister,fsl,9dof
-1.4226354360580444,-0.5630438923835754,4470461.5,-0.6501180529594421,7283402.0,-1.4226354360580444,sub-135S6545,vvregister,rr,12dof
-2.6089770793914795,-0.291568249464035,9222030.0,-0.2529377341270447,13684405.0,-2.6089770793914795,sub-135S6545,vvregister,coreg,12dof
-3.4482979774475098,-0.2869871854782104,8979595.0,-0.2422199547290802,13407986.0,-3.4482979774475098,sub-135S6545,vvregister,coreg,9dof
-1.938077688217163,-0.3142838478088379,8055896.5,-0.2668640613555908,11523031.0,-1.938077688217163,sub-135S6545,vvregister,fsl,12dof
-4.439462661743164,-0.6770213842391968,7127125.0,-0.622829258441925,7307814.5,-4.439462661743164,sub-019S6573,bbregister,spm,6dof
-4.375333309173584,-0.199906900525093,12165567.0,-0.1420025378465652,15063709.0,-4.375333309173584,sub-019S6573,bbregister,fsl,9dof
-4.465143203735352,-0.676947295665741,7127076.5,-0.6221686601638794,10519854.0,-4.465143203735352,sub-019S6573,bbregister,coreg,6dof
-4.740437984466553,-0.6747400760650635,7316765.0,-0.5943143367767334,inf,-4.740437984466553,sub-019S6573,bbregister,rr,9dof
-4.4597697257995605,-0.6769899725914001,7127044.0,-0.6222410202026367,inf,-4.4597697257995605,sub-019S6573,bbregister,rr,6dof
-4.419186115264893,-0.3604357540607452,8226601.0,-0.2883993685245514,10380387.0,-4.419186115264893,sub-019S6573,bbregister,fsl,6dof
-5.1120381355285645,-0.6747336983680725,7323873.5,-0.5847330093383789,7695206.5,-5.1120381355285645,sub-019S6573,bbregister,spm,9dof
-5.019058227539063,-0.6744071841239929,7318645.0,-0.5868165493011475,16713959.0,-5.019058227539063,sub-019S6573,bbregister,rr,12dof
-4.919448375701904,-0.6766365170478821,7289832.0,-0.5950942039489746,16763325.0,-4.919448375701904,sub-019S6573,bbregister,spm,12dof
-4.747613906860352,-0.6734603643417358,7336658.5,-0.5932694673538208,7746028.5,-4.747613906860352,sub-019S6573,bbregister,coreg,12dof
-4.843886375427246,-0.6745897531509399,7320826.5,-0.5915226936340332,7706051.5,-4.843886375427246,sub-019S6573,bbregister,coreg,9dof
-5.241366386413574,-0.2450933754444122,11616820.0,-0.1686426103115081,13503844.0,-5.241366386413574,sub-019S6573,bbregister,fsl,12dof
-5.296485900878906,-0.6841650009155273,7185068.0,-0.6039490103721619,7485362.0,-5.296485900878906,sub-019S6573,mri-coreg,NA,9dof
-4.727724552154541,-0.6757506132125854,7132966.5,-0.616110622882843,7349679.5,-4.727724552154541,sub-019S6573,mri-coreg,NA,6dof
-5.372436046600342,-0.68450528383255,7182457.0,-0.5980919003486633,7435704.5,-5.372436046600342,sub-019S6573,mri-coreg,NA,12dof
-4.5267534255981445,-0.6767330169677734,7128797.0,-0.619446337223053,7318313.0,-4.5267534255981445,sub-019S6573,vvregister,rr,6dof
-4.514707565307617,-0.6767378449440002,7128916.0,-0.6198593378067017,7324117.5,-4.514707565307617,sub-019S6573,vvregister,spm,6dof
-4.597139358520508,-0.6814420819282532,7151078.0,-0.6212998032569885,inf,-4.597139358520508,sub-019S6573,vvregister,rr,9dof
-4.46439266204834,-0.3745183050632477,8143886.0,-0.3021246194839477,9979707.0,-4.46439266204834,sub-019S6573,vvregister,fsl,6dof
-4.63292407989502,-0.6808221340179443,7152911.0,-0.620032548904419,7368698.0,-4.63292407989502,sub-019S6573,vvregister,spm,12dof
-4.667062282562256,-0.6813029050827026,7153349.0,-0.6189568042755127,7375335.0,-4.667062282562256,sub-019S6573,vvregister,spm,9dof
-4.512574672698975,-0.6767433285713196,7128927.5,-0.6199004054069519,7324109.0,-4.512574672698975,sub-019S6573,vvregister,coreg,6dof
-4.7046217918396,-0.3739259839057922,8170825.0,-0.2980824708938598,10028816.0,-4.7046217918396,sub-019S6573,vvregister,fsl,9dof
-4.598875999450684,-0.6805148720741272,7155639.5,-0.6197138428688049,16398275.0,-4.598875999450684,sub-019S6573,vvregister,rr,12dof
-4.664965152740479,-0.6796228289604187,7150453.0,-0.617711067199707,7352411.5,-4.664965152740479,sub-019S6573,vvregister,coreg,12dof
-4.592222690582275,-0.6816420555114746,7159487.0,-0.6217166781425476,7386150.5,-4.592222690582275,sub-019S6573,vvregister,coreg,9dof
-4.679793834686279,-0.3884796500205993,8213796.5,-0.307148665189743,10066752.0,-4.679793834686279,sub-019S6573,vvregister,fsl,12dof
-2.238036155700684,-0.4363428056240082,5302001.0,-0.4302735924720764,8108048.5,-2.238036155700684,sub-037S6377,bbregister,spm,6dof
-3.798510789871216,-0.1869281828403473,11140710.0,-0.1286478340625763,24116946.0,-3.798510789871216,sub-037S6377,bbregister,fsl,9dof
-2.7478220462799072,-0.4979325234889984,4572338.5,-0.6720613241195679,11519312.0,-2.7478220462799072,sub-037S6377,bbregister,coreg,6dof
-3.855267286300659,-0.1242067068815231,11563614.0,-0.0977836549282074,24116924.0,-3.855267286300659,sub-037S6377,bbregister,rr,9dof
-2.9093708992004395,-0.4356139898300171,5156746.5,-0.4828507304191589,8375208.5,-2.9093708992004395,sub-037S6377,bbregister,rr,6dof
-2.321890354156494,-0.4227293133735657,5312140.0,-0.412262886762619,13881607.0,-2.321890354156494,sub-037S6377,bbregister,fsl,6dof
-2.763819694519043,-0.1417683511972427,10926754.0,-0.1200617328286171,24116946.0,-2.763819694519043,sub-037S6377,bbregister,spm,9dof
-3.599644660949707,-0.1237824857234954,11608977.0,-0.09677754342556,24116334.0,-3.599644660949707,sub-037S6377,bbregister,rr,12dof
-3.690517425537109,-0.1405555158853531,10992957.0,-0.1170560270547866,13339601.0,-3.690517425537109,sub-037S6377,bbregister,spm,12dof
-4.979397773742676,-0.0658086538314819,13435081.0,-0.0475335344672203,24116946.0,-4.979397773742676,sub-037S6377,bbregister,coreg,12dof
-3.67060136795044,-0.1409341543912887,12075643.0,-0.0958296135067939,24116946.0,-3.67060136795044,sub-037S6377,bbregister,coreg,9dof
-4.147332668304443,-0.1837466210126876,11195425.0,-0.1245722025632858,15060393.0,-4.147332668304443,sub-037S6377,bbregister,fsl,12dof
-2.3600099086761475,-0.492156982421875,4629415.0,-0.7064774036407471,11888350.0,-2.3600099086761475,sub-037S6377,mri-coreg,NA,9dof
-2.328116178512573,-0.490882396697998,4663339.0,-0.6993862390518188,5653823.5,-2.328116178512573,sub-037S6377,mri-coreg,NA,6dof
-3.000742197036743,-0.4910277426242828,4639272.0,-0.6912225484848022,12448100.0,-3.000742197036743,sub-037S6377,mri-coreg,NA,12dof
-3.0305633544921875,-0.4432286620140075,4987949.5,-0.4812667071819305,10077689.0,-3.0305633544921875,sub-037S6377,vvregister,rr,6dof
-2.602616786956787,-0.3997086584568023,5820870.5,-0.3465647101402282,11554581.0,-2.602616786956787,sub-037S6377,vvregister,spm,6dof
-3.2318758964538574,-0.3225554227828979,8308424.5,-0.2414816170930862,23050088.0,-3.2318758964538574,sub-037S6377,vvregister,rr,9dof
-2.493561267852783,-0.3737783432006836,5743859.0,-0.3390008509159088,14799100.0,-2.493561267852783,sub-037S6377,vvregister,fsl,6dof
-3.5435092449188232,-0.2779417037963867,8348794.5,-0.2220799326896667,12576734.0,-3.5435092449188232,sub-037S6377,vvregister,spm,12dof
-3.5005953311920166,-0.2812323570251465,8349873.5,-0.2238363623619079,11731724.0,-3.5005953311920166,sub-037S6377,vvregister,spm,9dof
-2.4504244327545166,-0.4902660548686981,4657864.0,-0.6882349252700806,5911363.5,-2.4504244327545166,sub-037S6377,vvregister,coreg,6dof
-3.608736038208008,-0.2531858682632446,9081120.0,-0.1913414597511291,12514812.0,-3.608736038208008,sub-037S6377,vvregister,fsl,9dof
-3.2938666343688965,-0.2923150360584259,8683541.0,-0.2213567793369293,24075734.0,-3.2938666343688965,sub-037S6377,vvregister,rr,12dof
-4.156187057495117,-0.2859554886817932,9949997.0,-0.1996694505214691,24116930.0,-4.156187057495117,sub-037S6377,vvregister,coreg,12dof
-4.080833911895752,-0.2629101276397705,10328212.0,-0.1810615062713623,24116942.0,-4.080833911895752,sub-037S6377,vvregister,coreg,9dof
-3.1983091831207275,-0.2527762651443481,9178340.0,-0.1915857791900634,19833430.0,-3.1983091831207275,sub-037S6377,vvregister,fsl,12dof
-1.1891920566558838,-0.5364843606948853,14532512.0,-0.5678195953369141,24116942.0,-1.1891920566558838,sub-127S6549,bbregister,spm,6dof
-1.1977826356887815,-0.5331366658210754,14532512.0,-0.5259162783622742,24116944.0,-1.1977826356887815,sub-127S6549,bbregister,fsl,9dof
-1.2626738548278809,-0.6056957244873047,14532512.0,-0.6488702893257141,15063708.0,-1.2626738548278809,sub-127S6549,bbregister,coreg,6dof
-1.244097113609314,-0.518386721611023,14532512.0,-0.5203731656074524,24116944.0,-1.244097113609314,sub-127S6549,bbregister,rr,9dof
-1.189253330230713,-0.5364710688591003,14532512.0,-0.5677886605262756,24116942.0,-1.189253330230713,sub-127S6549,bbregister,rr,6dof
-1.19781756401062,-0.532107412815094,14532512.0,-0.5271832346916199,15063708.0,-1.19781756401062,sub-127S6549,bbregister,fsl,6dof
