ROI,Media
0.0,149.33306620586862
2.0,1055.179085618232
4.0,250.75123372833934
5.0,373.4678056929922
7.0,1026.4420324006255
8.0,612.4496111984123
10.0,940.3808751253941
11.0,865.4968593801897
12.0,895.1402222064161
13.0,1087.7968904488985
14.0,376.8121594605867
15.0,326.34992704927856
16.0,1054.5069261895767
17.0,740.4232757893253
18.0,805.5351902956219
24.0,425.64272543289877
26.0,808.1912330140459
28.0,1073.590039434023
30.0,659.131831577846
31.0,554.2241477584294
41.0,1055.2894188795192
43.0,255.39957135873595
44.0,308.36443932564396
46.0,1077.062116150757
47.0,676.3521343851161
49.0,953.0904141474605
50.0,854.6759201232095
51.0,875.9633456323414
52.0,1093.963838625087
53.0,730.7481652607339
54.0,806.5941257172527
58.0,834.5483293468154
60.0,1072.6709335382036
62.0,582.6153363314542
63.0,555.4648776255863
77.0,809.842677613586
85.0,1012.8300270547672
251.0,1164.0698007761814
252.0,967.7528561134815
253.0,1047.6950279198256
254.0,1067.717905372797
255.0,1112.5653707441238
1001.0,645.3407273039315
1002.0,672.8820499762662
1003.0,645.8899058364494
1005.0,743.5607213181313
1006.0,672.2719857168117
1007.0,665.3948103748747
1008.0,670.270440106512
1009.0,663.8885834495692
1010.0,726.3835860612957
1011.0,722.5392284347962
1012.0,672.7576274378947
1013.0,719.143081396245
1014.0,722.9960195361443
1015.0,657.5638916468569
1016.0,725.245144567182
1017.0,665.5091268439041
1018.0,663.098131012801
1019.0,668.7085835020168
1020.0,686.6264452993524
1021.0,738.549446688483
1022.0,690.1643006964973
1023.0,683.1918724650998
1024.0,696.9328876275936
1025.0,675.6343058418886
1026.0,696.1722221982014
1027.0,710.9728612433611
1028.0,682.329296084029
1029.0,701.7081418043402
1030.0,696.769295983319
1031.0,653.3784309123429
1032.0,813.6885768545408
1033.0,640.407215047446
1034.0,759.7300421673318
1035.0,663.0261591097888
2001.0,685.9193550206847
2002.0,668.7589772577013
2003.0,619.5729414168902
2005.0,781.6147466086422
2006.0,665.0295841708505
2007.0,679.8732838498274
2008.0,683.4784491707435
2009.0,671.3860363380138
2010.0,761.2648754440294
2011.0,736.1277029551685
2012.0,673.2185759086698
2013.0,756.9629182295366
2014.0,699.3750132919745
2015.0,651.028153558591
2016.0,738.7415242568826
2017.0,705.4609514547703
2018.0,636.3971461458439
2019.0,668.516904543916
2020.0,672.8003419714393
2021.0,781.5549744411534
2022.0,687.4067127775265
2023.0,708.5893807502775
2024.0,666.8639127637372
2025.0,720.9988491978099
2026.0,685.9709211911054
2027.0,679.8619997715072
2028.0,651.5499882790602
2029.0,723.0184201092277
2030.0,680.5147080034698
2031.0,654.3192830447194
2032.0,816.8830820333347
2033.0,687.4226973760186
2034.0,770.5242335247171
2035.0,652.881402597262
